Michiel Van de Panne,University of British Columbia,19-Mar-10,Acknowledgement_NI_MichielVandePanne
Mike Carbonaro,University of Alberta,10-May-10,Acknowledgement_NI_MikeCarbonaro
Nicholas Graham,Queens University,12-Mar-10,Acknowledgement_NI_NicholasGraham
Nick Dyer-Witheford,University of Western Ontario,18-Apr-11,Acknowledgement_NI_NickDyer-Witheford
Patricia Boechler,University of Alberta,09-May-11,Acknowledgement_NI_PatriciaBoechler
Paul Kry,McGill University,15-Mar-10,Acknowledgement_NI_PaulKry
Paula Gardner,OCAD University,07-Mar-10,Acknowledgement_NI_PaulaGardner
Pierre Poulin,University of Montreal,12-Mar-10,Acknowledgement_NI_PierrePoulin
Pourang Irani,University of Manitoba,05-Jul-10,Acknowledgement_NI_PourangIrani
Przemyslaw Prusinkiewicz,University of Calgary,06-Apr-10,Acknowledgement_NI_PrzemyslawPrusinkiewicz
Ravin Balakrishnan,University of Toronto,24-Mar-10,Acknowledgement_NI_RavinBalakrishnan
Ray Cole,University of British Columbia,03-May-11,Acknowledgement_NI_RaymondCole
Regan Mandryk,University of Saskatchewan,15-Mar-10,Acknowledgement_NI_ReganMandryk
Robert Biddle,Carleton University,05-May-10,Acknowledgement_NI_RobertBiddle
Robert Bridson,University of British Columbia,20-Jul-10,Acknowledgement_NI_RobertBridson
Robert Woodbury,Simon Fraser University,30-Mar-10,Acknowledgement_NI_RobertWoodbury
Roel Vertegaal,Queens University,05-Mar-10,Acknowledgement_NI_RoelVertegaal
Ron Wakkary,Simon Fraser University,02-Apr-10,Acknowledgement_NI_RonWakkary
Ronald Baecker,University of Toronto,28-Apr-10,Acknowledgement_NI_RonaldBaecker
Roy Eagleson,University of Western Ontario,12-Mar-10,Acknowledgement_NI_RoyEagleson
Ryan Rhodes,University of Victoria,07-May-10,Acknowledgement_NI_RyanRhodes
Sam Fisher,NSCAD University,14-Apr-11,Acknowledgement_NI_SamFisher
Samuel Trosow,University of Western Ontario,15-Mar-10,Acknowledgement_NI_SamuelTrosow
Sandrine de Ribaupierre,University of Western Ontario,14-Apr-11,Acknowledgement_NI_SandrinedeRibaupierre
Sean Gouglas,University of Alberta,10-May-10,Acknowledgement_NI_SeanGouglas
Sharla King,University of Alberta,20-Apr-11,Acknowledgement_NI_SharlaKing
Sheelagh Carpendale,University of Calgary,03-May-10,Acknowledgement_NI_SheelaghCarpendale
Sid Fels,University of British Columbia,25-Mar-10,Acknowledgement_NI_SidFels
Siobhan Stevenson,University of Toronto,14-Jul-11,Acknowledgement_NI_SiobhanStevenson
Stephen Brooks,Dalhousie University,25-Mar-10,Acknowledgement_NI_StephenBrooks
Stephen Sheppard,University of British Columbia,09-Dec-10,Acknowledgement_NI_StephenSheppard
Sudhir Mudur,Concordia University,18-Jun-10,Acknowledgement_NI_SudhirMudur
Temy Tidafi,University of Montreal,15-Mar-10,Acknowledgement_NI_TemyTidafi
Terry Peters,University of Western Ontario,14-Jun-10,Acknowledgement_NI_TerryPeters
Tom Calvert,Simon Fraser University,31-May-10,Acknowledgement_NI_ThomasCalvert
Tina Piper,McGill University,07-May-10,Acknowledgement_NI_TinaPiper
Toni Samek,University of Alberta,05-Jul-10,Acknowledgement_NI_ToniSamek
Wolfgang Heidrich,University of British Columbia,22-Mar-10,Acknowledgement_NI_WolfgangHeidrich
Wolfgang Stuerzlinger,York University,16-Feb-10,Acknowledgement_NI_WolfgangStuerzlinger
WonSook Lee,University of Ottawa,15-Aug-11,Acknowledgement_NI_WonSookLee
Xin Wei Sha,Concordia University,08-May-10,Acknowledgement_NI_XinWeiSha
Yuri Takhteyev,University of Toronto,06-May-10,Acknowledgement_NI_YuriTakhteyev
